"","x1","x2","x3","x4","x5","x6","x7","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.raccounting","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rhr","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rIT","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmanagement","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmarketing","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rproduct_mng","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rRandD","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rsales","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rsupport","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rtechnical","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rhigh","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rlow","D..D.UTA.Studies.UTA_Sem_4.ECON.5336.Project.ECON_Project_1.rmedium","y"
"1",0.53,2,157,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.38
"2",0.86,5,262,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8
"3",0.88,7,272,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.11
"4",0.87,5,223,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.72
"5",0.52,2,159,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.37
"6",0.5,2,153,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.41
"7",0.77,6,247,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1
"8",0.85,5,259,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.92
"9",1,5,224,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.89
"10",0.53,2,142,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.42
"11",0.54,2,135,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"12",0.81,6,305,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"13",0.92,4,234,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.84
"14",0.55,2,148,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.41
"15",0.56,2,137,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.36
"16",0.54,2,143,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.38
"17",0.47,2,160,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"18",0.99,4,255,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.78
"19",0.51,2,160,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.45
"20",0.89,5,262,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.76
"21",0.83,6,282,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.11
"22",0.55,2,147,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.38
"23",0.95,6,304,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.09
"24",0.57,2,139,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.46
"25",0.53,2,158,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4
"26",0.92,5,242,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.89
"27",0.87,4,239,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.82
"28",0.49,2,135,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4
"29",0.46,2,128,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.41
"30",0.5,2,132,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.38
"31",0.62,6,294,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.09
"32",0.57,2,134,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.45
"33",0.51,2,145,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4
"34",0.55,2,140,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.45
"35",0.87,4,246,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.84
"36",0.94,6,255,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"37",0.46,2,137,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.38
"38",0.5,2,126,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.45
"39",0.89,6,306,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.11
"40",0.54,2,152,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.41
"41",0.88,5,269,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.87
"42",0.48,2,158,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.45
"43",0.46,2,127,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.4
"44",0.8,7,281,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1
"45",0.89,6,276,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.09
"46",0.74,3,182,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.84
"47",0.55,2,147,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4
"48",0.7,3,273,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.57
"49",0.54,2,148,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4
"50",0.47,2,147,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.43
"51",0.78,6,152,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.13
"52",0.55,2,135,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.44
"53",0.55,2,134,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38
"54",0.54,2,132,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.39
